id,season,episode,key,partners,mentions
102,5,5,Rachel & Joey,Rachel & Joey,2
102,5,5,Monica & Chandler,Monica & Chandler,8
103,5,6,Ross & Rachel,Ross & Rachel,2
103,5,6,Ross,Ross & Emily,5
103,5,6,Rachel,Rachel & Paul,1
103,5,6,Monica & Chandler,Monica & Chandler,4
104,5,7,Ross,Ross & Emily,1
105,5,8,Ross & Rachel,Ross & Rachel,2
105,5,8,Ross,Ross & Carol,1
105,5,8,Rachel & Joey,Rachel & Joey,1
105,5,8,Monica & Chandler,Monica & Chandler,5
106,5,9,Ross & Rachel,Ross & Rachel,2
106,5,9,Rachel & Joey,Rachel & Joey,3
106,5,9,Monica & Chandler,Monica & Chandler,8
107,5,10,Ross & Rachel,Ross & Rachel,2
107,5,10,Rachel & Joey,Rachel & Joey,3
107,5,10,Monica & Chandler,Monica & Chandler,4
108,5,11,Ross & Rachel,Ross & Rachel,4
108,5,11,Ross,Ross & Elizabeth,3
108,5,11,Rachel & Joey,Rachel & Joey,2
108,5,11,Monica & Chandler,Monica & Chandler,2
109,5,12,Ross & Rachel,Ross & Rachel,1
109,5,12,Rachel & Joey,Rachel & Joey,4
109,5,12,Monica & Chandler,Monica & Chandler,13
110,5,13,Rachel & Joey,Rachel & Joey,2
110,5,13,Monica & Chandler,Monica & Chandler,2
111,5,14,Ross & Rachel,Ross & Rachel,2
111,5,14,Rachel & Joey,Rachel & Joey,2
111,5,14,Monica & Chandler,Monica & Chandler,15
112,5,15,Ross & Rachel,Ross & Rachel,2
112,5,15,Rachel & Joey,Rachel & Joey,4
112,5,15,Monica & Chandler,Monica & Chandler,5
112,5,15,Monica,Monica & Richard,1
113,5,16,Ross & Rachel,Ross & Rachel,5
113,5,16,Rachel & Joey,Rachel & Joey,4
113,5,16,Monica & Chandler,Monica & Chandler,7
114,5,17,Ross & Rachel,Ross & Rachel,2
114,5,17,Rachel & Joey,Rachel & Joey,5
114,5,17,Monica & Chandler,Monica & Chandler,5
114,5,17,Phoebe,Phoebe & Gary,7
115,5,18,Ross & Rachel,Ross & Rachel,2
115,5,18,Ross,Ross & Carol,1
115,5,18,Monica & Chandler,Monica & Chandler,3
116,5,19,Ross & Rachel,Ross & Rachel,4
116,5,19,Rachel & Joey,Rachel & Joey,3
116,5,19,Monica & Chandler,Monica & Chandler,4
117,5,20,Ross & Rachel,Ross & Rachel,4
117,5,20,Ross,Ross & Emily,4
117,5,20,Rachel & Joey,Rachel & Joey,1
117,5,20,Monica & Chandler,Monica & Chandler,1
118,5,21,Ross & Rachel,Ross & Rachel,3
118,5,21,Rachel & Joey,Rachel & Joey,3
118,5,21,Monica & Chandler,Monica & Chandler,5
118,5,21,Phoebe,Phoebe & Gary,4
119,5,22,Ross & Rachel,Ross & Rachel,5
119,5,22,Rachel & Joey,Rachel & Joey,3
119,5,22,Monica & Chandler,Monica & Chandler,4
120,5,23,Ross & Rachel,Ross & Rachel,7
120,5,23,Monica & Chandler,Monica & Chandler,4
120,5,23,Monica,Monica & Richard,1
121,5,24,Ross & Rachel,Ross & Rachel,6
121,5,24,Monica & Chandler,Monica & Chandler,4
122,6,1,Ross & Rachel,Ross & Rachel,8
122,6,1,Monica & Chandler,Monica & Chandler,7
123,6,2,Ross & Rachel,Ross & Rachel,4
123,6,2,Rachel & Joey,Rachel & Joey,1
123,6,2,Monica & Chandler,Monica & Chandler,5
124,6,3,Ross & Rachel,Ross & Rachel,5
124,6,3,Rachel & Joey,Rachel & Joey,3
124,6,3,Monica & Chandler,Monica & Chandler,9
125,6,4,Ross & Rachel,Ross & Rachel,7
125,6,4,Rachel & Joey,Rachel & Joey,1
125,6,4,Monica & Chandler,Monica & Chandler,3
126,6,5,Ross & Rachel,Ross & Rachel,4
126,6,5,Monica & Chandler,Monica & Chandler,3
127,6,6,Ross & Rachel,Ross & Rachel,1
127,6,6,Rachel & Joey,Rachel & Joey,2
127,6,6,Monica & Chandler,Monica & Chandler,2
128,6,7,Ross & Rachel,Ross & Rachel,1
128,6,7,Monica & Chandler,Monica & Chandler,7
128,6,7,Joey,Joey & Janine,2
129,6,8,Monica & Chandler,Monica & Chandler,3
129,6,8,Joey,Joey & Janine,5
130,6,9,Ross & Rachel,Ross & Rachel,13
130,6,9,Rachel & Joey,Rachel & Joey,8
130,6,9,Monica & Chandler,Monica & Chandler,16
130,6,9,Joey,Joey & Janine,2
131,6,10,Monica & Chandler,Monica & Chandler,6
131,6,10,Joey,Joey & Janine,4
132,6,11,Ross & Rachel,Ross & Rachel,4
132,6,11,Rachel & Joey,Rachel & Joey,1
132,6,11,Monica & Chandler,Monica & Chandler,8
132,6,11,Joey,Joey & Janine,8
133,6,12,Ross & Rachel,Ross & Rachel,3
133,6,12,Monica & Chandler,Monica & Chandler,8
134,6,13,Ross & Rachel,Ross & Rachel,4
134,6,13,Rachel & Joey,Rachel & Joey,1
134,6,13,Monica & Chandler,Monica & Chandler,5
135,6,14,Ross & Rachel,Ross & Rachel,4
135,6,14,Rachel & Joey,Rachel & Joey,1
135,6,14,Rachel,Rachel & Tag,1
135,6,14,Monica & Chandler,Monica & Chandler,7
136,6,15,Ross & Rachel,Ross & Rachel,1
136,6,15,Ross,Ross & Carol,1
136,6,15,Rachel & Joey,Rachel & Joey,2
136,6,15,Rachel,Rachel & Barry,1
136,6,15,Monica & Chandler,Monica & Chandler,6
137,6,16,Ross & Rachel,Ross & Rachel,1
137,6,16,Ross,Ross & Carol,3
137,6,16,Rachel & Joey,Rachel & Joey,4
137,6,16,Rachel,Rachel & Barry,1
137,6,16,Monica & Chandler,Monica & Chandler,7
138,6,17,Ross & Rachel,Ross & Rachel,7
138,6,17,Monica & Chandler,Monica & Chandler,6
138,6,17,Chandler,Chandler & Janice,1
139,6,18,Ross & Rachel,Ross & Rachel,2
139,6,18,Ross,Ross & Elizabeth,4
139,6,18,Rachel & Joey,Rachel & Joey,4
139,6,18,Monica & Chandler,Monica & Chandler,6
140,6,19,Ross & Rachel,Ross & Rachel,2
140,6,19,Ross,Ross & Elizabeth,6
140,6,19,Rachel & Joey,Rachel & Joey,4
140,6,19,Monica & Chandler,Monica & Chandler,5
141,6,20,Ross & Rachel,Ross & Rachel,1
141,6,20,Rachel & Joey,Rachel & Joey,10
141,6,20,Rachel,Rachel & Paul,1
141,6,20,Monica & Chandler,Monica & Chandler,1
142,6,21,Ross & Rachel,Ross & Rachel,4
142,6,21,Ross,Ross & Elizabeth,1
142,6,21,Rachel & Joey,Rachel & Joey,2
142,6,21,Rachel,Rachel & Paul,2
142,6,21,Monica & Chandler,Monica & Chandler,7
143,6,22,Ross,Ross & Elizabeth,2
143,6,22,Rachel & Joey,Rachel & Joey,1
143,6,22,Rachel,Rachel & Paul,2
