country,iso_a3,country_name,continent,region,region_un,year,pop,gdp_pcap,life_exp,income_daily,co2_pcap,fertility
India,IND,India,Asia,South Asia,Asia,2023,1440000000,7570,71.9,5.49,NA,1.98
China,CHN,China,Asia,East Asia & Pacific,Asia,2023,1420000000,19200,78.4,16,NA,1
USA,USA,United States,Americas,North America,Americas,2023,343000000,65900,79.5,90.5,NA,1.62
Indonesia,IDN,Indonesia,Asia,East Asia & Pacific,Asia,2023,281000000,12900,72,8.12,NA,2.13
Pakistan,PAK,Pakistan,Asia,South Asia,Asia,2023,248000000,5270,66.4,5.18,NA,3.61
Nigeria,NGA,Nigeria,Africa,Sub-Saharan Africa,Africa,2023,228000000,4990,65.5,3.58,NA,4.48
Brazil,BRA,Brazil,Americas,Latin America & Caribbean,Americas,2023,211000000,15500,76.7,20.1,NA,1.62
Bangladesh,BGD,Bangladesh,Asia,South Asia,Asia,2023,171000000,6560,75.8,5.1899999999999995,NA,2.16
Russia,RUS,Russia,Europe,Europe & Central Asia,Europe,2023,145000000,28800,73.6,22.4,NA,1.45
Mexico,MEX,Mexico,Americas,Latin America & Caribbean,Americas,2023,130000000,20200,76.5,15.2,NA,1.91
Ethiopia,ETH,Ethiopia,Africa,Sub-Saharan Africa,Africa,2023,129000000,2470,69.7,5.31,NA,3.99
Japan,JPN,Japan,Asia,East Asia & Pacific,Asia,2023,124000000,42600,85.3,53.6,NA,1.21
Egypt,EGY,Egypt,Africa,Middle East & North Africa,Africa,2023,115000000,13100,70.4,7.49,NA,2.75
Philippines,PHL,Philippines,Asia,East Asia & Pacific,Asia,2023,115000000,8920,72.3,8.48,NA,1.92
"Congo, Dem. Rep.",COD,"Congo, Dem. Rep.",Africa,Sub-Saharan Africa,Africa,2023,106000000,1190,65.4,2.63,NA,6.05
Vietnam,VNM,Vietnam,Asia,East Asia & Pacific,Asia,2023,100000000,11900,75.1,17,NA,1.91
Iran,IRN,Iran,Asia,Middle East & North Africa,Asia,2023,90600000,16100.000000000002,78.6,16,NA,1.7
Turkey,TUR,Turkey,Europe,Europe & Central Asia,Asia,2023,87300000,34200,79.3,26.7,NA,1.63
Germany,DEU,Germany,Europe,Europe & Central Asia,Europe,2023,84500000,53200,81.8,65.1,NA,1.44
